time,modulation,datarate,total
1,16QAM,24.0,2786
1,16QAM,36.0,1288
1,64QAM,54.0,58
1,64QAM,48.0,103
1,QPSK,18.0,9212
2,16QAM,24.0,974
2,16QAM,36.0,147
2,QPSK,18.0,12034
2,64QAM,48.0,17
3,16QAM,24.0,3040
3,16QAM,36.0,998
3,64QAM,54.0,13
3,QPSK,18.0,7623
3,64QAM,48.0,53
4,16QAM,24.0,4767
4,16QAM,36.0,1052
4,64QAM,54.0,20
4,64QAM,48.0,70
4,QPSK,18.0,6851
5,16QAM,24.0,3963
5,16QAM,36.0,816
5,64QAM,54.0,7
5,QPSK,18.0,8873
5,64QAM,48.0,35
6,16QAM,24.0,4247
6,16QAM,36.0,1037
6,64QAM,54.0,13
6,QPSK,18.0,6755
6,64QAM,48.0,52
7,16QAM,24.0,3211
7,16QAM,36.0,758
7,64QAM,54.0,12
7,64QAM,48.0,46
7,QPSK,18.0,5581
8,16QAM,24.0,3482
8,16QAM,36.0,528
8,64QAM,54.0,5
8,64QAM,48.0,26
8,QPSK,18.0,16118
9,16QAM,24.0,4650
9,16QAM,36.0,813
9,64QAM,54.0,19
9,64QAM,48.0,53
9,QPSK,18.0,11579
10,16QAM,24.0,2708
10,16QAM,36.0,1499
10,64QAM,54.0,1165
10,QPSK,18.0,9028
10,64QAM,48.0,311
11,16QAM,24.0,20
11,16QAM,36.0,208
11,64QAM,54.0,19244
11,64QAM,48.0,1451
12,16QAM,36.0,86
12,64QAM,54.0,16484
13,16QAM,24.0,2
13,16QAM,36.0,72
13,64QAM,54.0,15929
13,64QAM,48.0,91
14,16QAM,24.0,3
14,16QAM,36.0,108
14,64QAM,54.0,16446
14,64QAM,48.0,1648
15,16QAM,24.0,73
15,16QAM,36.0,217
15,64QAM,54.0,13524
15,64QAM,48.0,2942
15,QPSK,18.0,2
16,16QAM,24.0,4
16,16QAM,36.0,161
16,64QAM,54.0,14072
16,64QAM,48.0,705
17,16QAM,24.0,322
17,16QAM,36.0,1152
17,64QAM,54.0,10666
17,64QAM,48.0,1624
17,QPSK,18.0,577
18,16QAM,24.0,170
18,16QAM,36.0,1084
18,64QAM,54.0,11598
18,64QAM,48.0,770
18,QPSK,18.0,304
19,16QAM,24.0,340
19,16QAM,36.0,1010
19,64QAM,54.0,8731
19,64QAM,48.0,5619
19,QPSK,18.0,1429
20,16QAM,24.0,545
20,16QAM,36.0,1773
20,64QAM,54.0,8102
20,64QAM,48.0,1780
20,QPSK,18.0,3970
21,16QAM,24.0,330
21,16QAM,36.0,2845
21,64QAM,54.0,8120
21,64QAM,48.0,2120
21,QPSK,18.0,8
22,16QAM,24.0,269
22,16QAM,36.0,3777
22,64QAM,54.0,3116
22,64QAM,48.0,4481
22,QPSK,18.0,1
23,16QAM,24.0,359
23,16QAM,36.0,1507
23,64QAM,54.0,3056
23,64QAM,48.0,7619
24,16QAM,24.0,2070
24,16QAM,36.0,6567
24,64QAM,54.0,1208
24,64QAM,48.0,3545
24,QPSK,18.0,116
25,16QAM,24.0,368
25,16QAM,36.0,6009
25,64QAM,54.0,3340
25,64QAM,48.0,4257
25,QPSK,18.0,16
26,16QAM,24.0,282
26,16QAM,36.0,2106
26,64QAM,54.0,6799
26,64QAM,48.0,5927
27,16QAM,24.0,621
27,16QAM,36.0,2293
27,64QAM,54.0,4407
27,64QAM,48.0,7653
27,QPSK,18.0,3
28,16QAM,24.0,276
28,16QAM,36.0,1253
28,64QAM,54.0,3868
28,64QAM,48.0,7684
28,QPSK,18.0,1
29,16QAM,24.0,319
29,16QAM,36.0,723
29,64QAM,54.0,2474
29,64QAM,48.0,11074
29,QPSK,18.0,4
30,16QAM,24.0,215
30,16QAM,36.0,952
30,64QAM,54.0,4544
30,64QAM,48.0,8507
