time,modulation,datarate,total
1,16QAM,24.0,63
1,16QAM,36.0,141
1,64QAM,54.0,12016
1,64QAM,48.0,92
1,QPSK,18.0,57
2,16QAM,36.0,92
2,64QAM,54.0,14109
3,16QAM,36.0,111
3,64QAM,54.0,13043
4,16QAM,36.0,100
4,64QAM,54.0,13143
5,16QAM,36.0,82
5,64QAM,54.0,11682
6,16QAM,36.0,136
6,64QAM,54.0,20439
7,16QAM,36.0,89
7,64QAM,54.0,14431
8,16QAM,36.0,107
8,64QAM,54.0,15243
9,16QAM,36.0,85
9,64QAM,54.0,14230
10,16QAM,36.0,80
10,64QAM,54.0,13992
11,16QAM,36.0,83
11,64QAM,54.0,14816
12,16QAM,24.0,87
12,16QAM,36.0,180
12,64QAM,54.0,15371
12,64QAM,48.0,59
12,QPSK,18.0,84
13,16QAM,36.0,91
13,64QAM,54.0,14975
14,16QAM,24.0,62
14,16QAM,36.0,173
14,64QAM,54.0,16592
14,64QAM,48.0,46
14,QPSK,18.0,54
15,16QAM,36.0,108
15,64QAM,54.0,16295
16,16QAM,24.0,6
16,16QAM,36.0,110
16,64QAM,54.0,15145
16,QPSK,18.0,6
17,16QAM,36.0,127
17,64QAM,54.0,15392
18,16QAM,36.0,100
18,64QAM,54.0,15636
18,QPSK,18.0,4
19,16QAM,36.0,81
19,64QAM,54.0,15966
20,16QAM,36.0,93
20,64QAM,54.0,15447
20,QPSK,18.0,6
21,16QAM,24.0,4
21,16QAM,36.0,113
21,64QAM,54.0,17183
21,QPSK,18.0,1
22,16QAM,24.0,82
22,16QAM,36.0,174
22,64QAM,54.0,12738
22,64QAM,48.0,451
22,QPSK,18.0,90
23,16QAM,24.0,89
23,16QAM,36.0,139
23,64QAM,54.0,13707
23,64QAM,48.0,144
23,QPSK,18.0,91
24,16QAM,24.0,2
24,16QAM,36.0,135
24,64QAM,54.0,15479
24,QPSK,18.0,1
25,16QAM,36.0,86
25,64QAM,54.0,14993
26,16QAM,36.0,120
26,64QAM,54.0,14063
26,QPSK,18.0,1
27,16QAM,36.0,87
27,64QAM,54.0,15746
28,16QAM,24.0,2
28,16QAM,36.0,111
28,64QAM,54.0,14383
29,16QAM,36.0,93
29,64QAM,54.0,12585
30,16QAM,36.0,73
30,64QAM,54.0,14363
