time,modulation,datarate,total
8,16QAM,36.0,4
8,64QAM,54.0,2
9,64QAM,54.0,47
10,16QAM,24.0,54
10,16QAM,36.0,39
10,64QAM,54.0,204
10,64QAM,48.0,54
10,QPSK,18.0,17
11,16QAM,24.0,793
11,16QAM,36.0,907
11,64QAM,54.0,3339
11,QPSK,18.0,502
11,64QAM,48.0,1141
12,16QAM,24.0,771
12,16QAM,36.0,931
12,64QAM,54.0,4920
12,64QAM,48.0,1340
12,QPSK,18.0,356
13,16QAM,24.0,978
13,16QAM,36.0,986
13,64QAM,54.0,4677
13,64QAM,48.0,872
13,QPSK,18.0,413
14,16QAM,24.0,810
14,16QAM,36.0,948
14,64QAM,54.0,4595
14,64QAM,48.0,1552
14,QPSK,18.0,778
15,16QAM,24.0,552
15,16QAM,36.0,745
15,64QAM,54.0,4447
15,64QAM,48.0,1242
15,QPSK,18.0,701
16,16QAM,24.0,1144
16,16QAM,36.0,820
16,64QAM,54.0,4488
16,QPSK,18.0,597
16,64QAM,48.0,1320
17,16QAM,24.0,534
17,16QAM,36.0,1050
17,64QAM,54.0,5519
17,QPSK,18.0,389
17,64QAM,48.0,1140
18,16QAM,24.0,189
18,16QAM,36.0,1045
18,64QAM,54.0,6031
18,64QAM,48.0,445
18,QPSK,18.0,21
19,16QAM,24.0,131
19,16QAM,36.0,653
19,64QAM,54.0,6435
19,64QAM,48.0,843
19,QPSK,18.0,5
20,16QAM,24.0,951
20,16QAM,36.0,467
20,64QAM,54.0,6591
20,64QAM,48.0,570
20,QPSK,18.0,44
21,16QAM,24.0,1
21,16QAM,36.0,38
21,64QAM,54.0,133
21,64QAM,48.0,33
22,64QAM,54.0,26
23,64QAM,54.0,2
