time,modulation,datarate,total
1,16QAM,24.0,3
1,16QAM,36.0,232
1,64QAM,54.0,15301
1,64QAM,48.0,316
2,16QAM,24.0,10
2,16QAM,36.0,260
2,64QAM,54.0,18014
2,64QAM,48.0,409
3,16QAM,24.0,91
3,16QAM,36.0,338
3,64QAM,54.0,12834
3,64QAM,48.0,1501
3,QPSK,18.0,1192
4,16QAM,24.0,1
4,16QAM,36.0,376
4,64QAM,54.0,13397
4,64QAM,48.0,2
5,16QAM,24.0,100
5,16QAM,36.0,284
5,64QAM,54.0,13431
5,64QAM,48.0,855
5,QPSK,18.0,101
6,16QAM,24.0,6
6,16QAM,36.0,211
6,64QAM,54.0,16400
7,16QAM,24.0,98
7,16QAM,36.0,308
7,64QAM,54.0,16357
7,64QAM,48.0,312
7,QPSK,18.0,81
8,16QAM,24.0,1
8,16QAM,36.0,253
8,64QAM,54.0,15379
8,QPSK,18.0,1
8,64QAM,48.0,77
9,16QAM,24.0,86
9,16QAM,36.0,234
9,64QAM,54.0,12729
9,64QAM,48.0,458
9,QPSK,18.0,87
10,16QAM,24.0,424
10,16QAM,36.0,1344
10,64QAM,54.0,8156
10,64QAM,48.0,1890
10,QPSK,18.0,43
11,16QAM,24.0,12
11,16QAM,36.0,58
11,64QAM,54.0,11358
11,64QAM,48.0,999
11,QPSK,18.0,1
12,16QAM,36.0,125
12,64QAM,54.0,13526
12,64QAM,48.0,144
13,16QAM,36.0,129
13,64QAM,54.0,14273
14,16QAM,24.0,2
14,16QAM,36.0,132
14,64QAM,54.0,14728
15,16QAM,24.0,10
15,16QAM,36.0,151
15,64QAM,54.0,13701
15,64QAM,48.0,369
16,16QAM,36.0,97
16,64QAM,54.0,14089
17,16QAM,36.0,161
17,64QAM,54.0,14184
18,16QAM,24.0,56
18,16QAM,36.0,158
18,64QAM,54.0,13941
18,64QAM,48.0,153
18,QPSK,18.0,81
19,16QAM,36.0,134
19,64QAM,54.0,13143
20,16QAM,36.0,102
20,64QAM,54.0,13168
20,64QAM,48.0,67
21,16QAM,24.0,745
21,16QAM,36.0,2880
21,64QAM,54.0,4769
21,64QAM,48.0,3382
21,QPSK,18.0,50
22,16QAM,24.0,905
22,16QAM,36.0,7429
22,64QAM,54.0,1376
22,64QAM,48.0,7972
22,QPSK,18.0,246
23,16QAM,24.0,1735
23,16QAM,36.0,6984
23,64QAM,54.0,1504
23,64QAM,48.0,4921
23,QPSK,18.0,492
24,16QAM,24.0,1970
24,16QAM,36.0,8138
24,64QAM,54.0,708
24,64QAM,48.0,3874
24,QPSK,18.0,460
25,16QAM,24.0,2108
25,16QAM,36.0,10672
25,64QAM,54.0,136
25,QPSK,18.0,412
25,64QAM,48.0,786
26,16QAM,24.0,2224
26,16QAM,36.0,10717
26,64QAM,54.0,146
26,64QAM,48.0,1149
26,QPSK,18.0,286
27,16QAM,24.0,2921
27,16QAM,36.0,7713
27,64QAM,54.0,631
27,64QAM,48.0,3220
27,QPSK,18.0,242
28,16QAM,24.0,2509
28,16QAM,36.0,5328
28,64QAM,54.0,850
28,64QAM,48.0,5990
28,QPSK,18.0,197
29,16QAM,24.0,1472
29,16QAM,36.0,11482
29,64QAM,54.0,488
29,64QAM,48.0,3862
29,QPSK,18.0,310
30,16QAM,24.0,2548
30,16QAM,36.0,5918
30,64QAM,54.0,2326
30,64QAM,48.0,2715
30,QPSK,18.0,222
