time,modulation,datarate,total
1,16QAM,24.0,1229
1,16QAM,36.0,1024
1,64QAM,54.0,5958
1,64QAM,48.0,811
1,QPSK,18.0,661
2,16QAM,24.0,1095
2,16QAM,36.0,1472
2,64QAM,54.0,6459
2,64QAM,48.0,1306
2,QPSK,18.0,1125
3,16QAM,24.0,1062
3,16QAM,36.0,1818
3,64QAM,54.0,4531
3,64QAM,48.0,1990
3,QPSK,18.0,1921
4,16QAM,24.0,1201
4,16QAM,36.0,982
4,64QAM,54.0,4766
4,QPSK,18.0,454
4,64QAM,48.0,1162
5,16QAM,24.0,1381
5,16QAM,36.0,1356
5,64QAM,54.0,3761
5,QPSK,18.0,918
5,64QAM,48.0,1080
6,16QAM,24.0,785
6,16QAM,36.0,860
6,64QAM,54.0,3777
6,QPSK,18.0,1022
6,64QAM,48.0,1624
7,16QAM,24.0,1306
7,16QAM,36.0,1129
7,64QAM,54.0,4027
7,64QAM,48.0,737
7,QPSK,18.0,554
8,16QAM,24.0,457
8,16QAM,36.0,462
8,64QAM,54.0,3650
8,64QAM,48.0,667
8,QPSK,18.0,524
9,16QAM,24.0,879
9,16QAM,36.0,870
9,64QAM,54.0,1981
9,64QAM,48.0,1010
9,QPSK,18.0,795
10,16QAM,24.0,618
10,16QAM,36.0,793
10,64QAM,54.0,2147
10,64QAM,48.0,865
10,QPSK,18.0,690
11,16QAM,24.0,819
11,16QAM,36.0,859
11,64QAM,54.0,1724
11,QPSK,18.0,855
11,64QAM,48.0,654
12,16QAM,24.0,1130
12,16QAM,36.0,801
12,64QAM,54.0,2446
12,64QAM,48.0,484
12,QPSK,18.0,646
13,16QAM,24.0,499
13,16QAM,36.0,1194
13,64QAM,54.0,2145
13,QPSK,18.0,504
13,64QAM,48.0,620
14,16QAM,24.0,532
14,16QAM,36.0,1805
14,64QAM,54.0,2991
14,64QAM,48.0,1089
14,QPSK,18.0,386
15,16QAM,24.0,522
15,16QAM,36.0,652
15,64QAM,54.0,3332
15,QPSK,18.0,461
15,64QAM,48.0,652
16,16QAM,24.0,966
16,16QAM,36.0,814
16,64QAM,54.0,2960
16,QPSK,18.0,401
16,64QAM,48.0,956
17,16QAM,24.0,940
17,16QAM,36.0,688
17,64QAM,54.0,3097
17,QPSK,18.0,892
17,64QAM,48.0,844
18,16QAM,24.0,778
18,16QAM,36.0,1013
18,64QAM,54.0,3701
18,QPSK,18.0,279
18,64QAM,48.0,1332
19,16QAM,24.0,664
19,16QAM,36.0,985
19,64QAM,54.0,3451
19,64QAM,48.0,1263
19,QPSK,18.0,171
20,16QAM,24.0,291
20,16QAM,36.0,558
20,64QAM,54.0,2918
20,64QAM,48.0,2605
20,QPSK,18.0,84
21,16QAM,24.0,406
21,16QAM,36.0,821
21,64QAM,54.0,1302
21,64QAM,48.0,503
21,QPSK,18.0,248
22,16QAM,24.0,1564
22,16QAM,36.0,1695
22,64QAM,54.0,2094
22,64QAM,48.0,789
22,QPSK,18.0,285
23,16QAM,24.0,1407
23,16QAM,36.0,1294
23,64QAM,54.0,608
23,64QAM,48.0,439
23,QPSK,18.0,656
24,16QAM,24.0,841
24,16QAM,36.0,1596
24,64QAM,54.0,193
24,64QAM,48.0,575
24,QPSK,18.0,547
25,16QAM,24.0,477
25,16QAM,36.0,946
25,64QAM,54.0,118
25,QPSK,18.0,1946
25,64QAM,48.0,192
26,16QAM,24.0,628
26,16QAM,36.0,583
26,64QAM,54.0,97
26,64QAM,48.0,383
26,QPSK,18.0,605
27,16QAM,24.0,574
27,16QAM,36.0,1730
27,64QAM,54.0,318
27,64QAM,48.0,680
27,QPSK,18.0,107
28,16QAM,24.0,548
28,16QAM,36.0,578
28,64QAM,54.0,708
28,64QAM,48.0,560
28,QPSK,18.0,225
29,16QAM,24.0,763
29,16QAM,36.0,699
29,64QAM,54.0,323
29,64QAM,48.0,669
29,QPSK,18.0,601
30,16QAM,24.0,256
30,16QAM,36.0,1830
30,64QAM,54.0,612
30,64QAM,48.0,452
30,QPSK,18.0,444
