time,modulation,datarate,total
1,16QAM,36.0,12
1,64QAM,54.0,15063
2,16QAM,36.0,17
2,64QAM,54.0,17943
3,16QAM,24.0,1
3,16QAM,36.0,44
3,64QAM,54.0,12070
3,64QAM,48.0,1047
4,16QAM,36.0,53
4,64QAM,54.0,14038
5,16QAM,36.0,6
5,64QAM,54.0,14184
6,16QAM,36.0,3
6,64QAM,54.0,15961
7,16QAM,36.0,32
7,64QAM,54.0,16308
8,16QAM,36.0,10
8,64QAM,54.0,14859
9,16QAM,36.0,18
9,64QAM,54.0,13012
10,16QAM,36.0,45
10,64QAM,54.0,10809
11,16QAM,36.0,26
11,64QAM,54.0,12291
12,16QAM,36.0,14
12,64QAM,54.0,13449
13,16QAM,36.0,14
13,64QAM,54.0,13525
14,16QAM,36.0,19
14,64QAM,54.0,14577
15,16QAM,24.0,2
15,16QAM,36.0,37
15,64QAM,54.0,13948
15,64QAM,48.0,83
16,16QAM,36.0,21
16,64QAM,54.0,14053
17,16QAM,36.0,23
17,64QAM,54.0,13706
18,16QAM,36.0,14
18,64QAM,54.0,14091
19,16QAM,24.0,1
19,16QAM,36.0,56
19,64QAM,54.0,12607
19,64QAM,48.0,45
20,16QAM,36.0,25
20,64QAM,54.0,13074
21,16QAM,24.0,4
21,16QAM,36.0,36
21,64QAM,54.0,4839
21,64QAM,48.0,693
22,16QAM,24.0,3
22,16QAM,36.0,54
22,64QAM,54.0,6568
22,64QAM,48.0,834
23,16QAM,24.0,6
23,16QAM,36.0,41
23,64QAM,54.0,2530
23,64QAM,48.0,714
24,16QAM,24.0,4
24,16QAM,36.0,83
24,64QAM,54.0,1484
24,64QAM,48.0,208
25,16QAM,24.0,2
25,16QAM,36.0,79
25,64QAM,54.0,232
25,64QAM,48.0,1198
26,16QAM,24.0,1
26,16QAM,36.0,133
26,64QAM,54.0,284
26,64QAM,48.0,659
27,16QAM,24.0,3
27,16QAM,36.0,84
27,64QAM,54.0,1192
27,64QAM,48.0,473
28,16QAM,36.0,110
28,64QAM,54.0,3028
29,16QAM,36.0,84
29,64QAM,54.0,1579
30,16QAM,24.0,2
30,16QAM,36.0,79
30,64QAM,54.0,2847
30,64QAM,48.0,149
